36,11,46.256,106,3,6.508
20,16,8.245,-3,39,33.834
-89,3,13.23,-76,34,48.185
-23,56,30.159,-173,50,28.39
13,4,58.510,166,0,45.265
-3,43,48.438,179,25,40.976
-54,33,2.260,-67,58,21.143
-51,21,47.453,177,54,17.92
-69,12,57.27,-93,3,37.87
0,45,54.613,169,48,12.980
-68,27,39.979,-18,44,19.436
-81,49,43.893,103,56,4.493
20,44,31.246,-24,44,13.92
-75,31,36.597,-97,13,53.956
-21,41,46.959,-113,11,23.488
-12,8,34.210,125,52,19.435
38,55,52.743,-35,18,31.571
80,37,37.63,-99,28,11.524
-55,11,29.481,144,24,19.424
-82,12,9.822,155,13,20.431
-33,47,1.205,-141,30,2.15
-23,6,37.899,19,48,7.241
-47,4,43.252,-55,7,21.185
-50,47,35.16,-166,20,38.386
-18,17,20.308,-32,15,47.177
-11,22,33.784,-166,26,7.786
-25,0,8.377,-141,23,48.547
85,21,35.616,136,37,29.177
23,32,15.84,-26,58,44.624
-25,3,59.501,-152,45,45.64
-17,36,8.361,61,1,16.473
-18,55,51.528,-105,35,21.806
-57,18,32.133,83,43,34.721
-82,31,40.870,-169,38,11.275
-71,16,15.720,-34,52,45.735
-23,13,50.49,38,43,11.340
-20,40,29.343,-95,41,6.377
88,30,21.556,14,21,51.540
-66,56,22.498,56,5,11.226
-31,19,24.607,20,12,33.700
51,33,37.899,-73,41,43.988
68,46,41.787,133,17,40.49
48,43,31.81,-158,52,22.937
41,8,18.442,-133,23,9.808
9,42,8.773,-83,54,20.955
82,8,31.811,76,23,26.881
-31,46,28.484,-140,44,58.753
-58,20,46.725,-13,36,5.172
69,6,38.123,-101,1,59.693
-33,11,5.535,171,6,25.960
-8,28,32.990,118,2,0.236
61,37,30.418,162,50,35.671
-45,39,28.820,82,58,55.948
-87,57,58.490,122,16,26.789
49,10,35.46,41,57,58.325
78,52,40.750,73,54,22.787
-69,11,36.782,-80,20,49.429
45,55,39.527,-70,38,11.330
4,8,53.540,-117,47,54.212
-34,48,50.468,-151,4,30.462
61,46,44.173,39,48,59.934
48,40,34.449,-30,59,22.537
41,17,42.532,54,9,35.401
76,7,47.642,-48,15,51.971
-7,29,34.611,45,54,58.758
61,41,57.472,73,53,46.592
48,46,6.698,17,42,53.61
16,10,43.427,0,4,53.550
7,8,20.774,156,21,31.589
-12,14,34.500,-95,52,54.645
-34,58,1.983,172,20,32.602
-43,8,50.360,-104,54,57.373
-88,2,33.249,27,6,45.14
49,22,39.816,-15,10,4.128
81,3,52.876,-154,40,48.953
-34,26,40.195,152,2,33.509
-26,12,25.16,58,49,59.903
-56,6,11.848,17,13,59.971
-73,42,37.388,90,41,38.62
-72,16,46.433,-24,32,27.260
-13,2,36.569,-175,41,11.408
33,57,42.496,-71,33,16.755
-21,22,2.406,-75,40,56.839
-48,45,30.54,152,15,26.352
58,47,47.17,-64,54,44.291
-47,8,0.258,-38,59,5.378
21,29,10.30,160,56,24.832
50,22,34.431,113,52,10.601
-57,0,32.272,-112,18,51.123
-18,59,5.789,122,47,52.998
13,11,45.414,44,23,9.561
-13,39,9.832,161,27,23.56
-74,8,5.230,-121,27,18.827
-66,53,25.83,-117,48,23.383
-41,34,3.773,103,26,43.677
26,59,35.691,-54,27,53.868
-37,56,48.607,-33,37,2.105
47,3,5.662,59,19,44.734
-89,52,4.551,107,0,42.220
47,35,40.345,-125,57,24.515
